rule_id,src_service,dst_service,relation_scope,direct_supported,doc_url,verified_by,note
R023,dynamodb,eventbridge,pipes,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-pipes.html,,EventBridge Pipes accepts a DynamoDB stream as a source.
R030,sns,lambda,subscription,true,https://docs.aws.amazon.com/sns/latest/dg/sns-event-destinations.html,,Lambda is a supported SNS subscription protocol.
R031,sns,sqs,subscription,true,https://docs.aws.amazon.com/sns/latest/dg/sns-sqs-as-subscriber.html,,SQS is a supported SNS subscription protocol.
R032,sns,firehose,subscription,true,https://docs.aws.amazon.com/sns/latest/dg/sns-firehose-as-subscriber.html,,Data Firehose is a supported SNS subscription protocol.
R033,sns,step_functions,subscription,false,https://docs.aws.amazon.com/sns/latest/dg/sns-event-destinations.html,,Step Functions is not an SNS subscription protocol.
R034,sns,dynamodb,subscription,false,https://docs.aws.amazon.com/sns/latest/dg/sns-event-destinations.html,,DynamoDB is not an SNS subscription protocol.
R035,sns,s3,subscription,false,https://docs.aws.amazon.com/sns/latest/dg/sns-event-destinations.html,,S3 is not an SNS subscription protocol.
R040,eventbridge,lambda,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,Lambda is a supported EventBridge rule target.
R041,eventbridge,sqs,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,SQS is a supported EventBridge rule target.
R042,eventbridge,sns,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,SNS is a supported EventBridge rule target.
R043,eventbridge,step_functions,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,Step Functions is a supported EventBridge rule target.
R044,eventbridge,kinesis_streams,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,Kinesis Data Streams is a supported EventBridge rule target.
R045,eventbridge,firehose,rule_target,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,Data Firehose is a supported EventBridge rule target.
R046,eventbridge,dynamodb,rule_target,false,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,"DynamoDB is not an EventBridge rule target. Put Lambda, or a Step Functions SDK integration, between them."
R047,eventbridge,s3,rule_target,false,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-targets.html,,"S3 is not an EventBridge rule target. Route through Data Firehose, or through Lambda."
R050,kinesis_streams,lambda,event_source_mapping,true,https://docs.aws.amazon.com/lambda/latest/dg/with-kinesis.html,,Lambda reads a Kinesis stream through an event source mapping.
R051,kinesis_streams,step_functions,event_source_mapping,false,https://docs.aws.amazon.com/step-functions/latest/dg/concepts-invoke-sfn.html,,A Kinesis stream cannot start a state machine directly. Use EventBridge Pipes.
R052,kinesis_streams,firehose,delivery,true,https://docs.aws.amazon.com/firehose/latest/dev/writing-with-kinesis-streams.html,,Data Firehose can read directly from a Kinesis data stream.
R060,apigateway,lambda,integration,true,https://docs.aws.amazon.com/apigateway/latest/developerguide/getting-started-with-lambda-integration.html,,Lambda proxy and non-proxy integrations are supported.
R061,apigateway,sqs,integration,true,https://docs.aws.amazon.com/apigateway/latest/developerguide/integrating-api-with-aws-services-sqs.html,,API Gateway supports an AWS service integration to SQS.
R062,apigateway,dynamodb,integration,true,https://docs.aws.amazon.com/apigateway/latest/developerguide/http-api-develop-integrations-aws-services.html,,API Gateway supports an AWS service integration to DynamoDB.
R063,apigateway,step_functions,integration,true,https://docs.aws.amazon.com/step-functions/latest/dg/tutorial-api-gateway.html,,API Gateway can start a state machine through a service integration.
R064,apigateway,eventbridge,integration,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-api-destinations.html,,HTTP API supports the EventBridge PutEvents subtype.
R070,cognito,lambda,trigger,true,https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-identity-pools-working-with-aws-lambda-triggers.html,,A user pool invokes Lambda triggers at defined lifecycle points.
R071,cognito,apigateway,authorizer,true,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-integrate-with-cognito.html,,A Cognito user pool can authorize an API Gateway API.
